Dataset,Technique,Qubits_Logical,Qubits_Physical,Gate_Count_Clifford,Circuit_Depth,SWAP_Overhead,Encoding_Time_ms,Fidelity_Hellinger,PSNR,SSIM,Ablation_NoTREX,Compression_Ratio
Lena,HEPAR,9.0,9.0,1031.0,1010.0,0.0,13497.5,0.9187,19.4,0.849,0.8429,4.92
Lena,NEQR,,,,,,0.0,,,,,1.0
Lena,FRQI,,,,,,0.0,,,,,1.0
MRI,HEPAR,11.0,11.0,4103.0,4078.0,0.0,194865.23,0.959,25.49,0.9447,0.9411,3.51
MRI,NEQR,,,,,,0.0,,,,,1.0
MRI,FRQI,,,,,,0.0,,,,,1.0
Noise,HEPAR,11.0,11.0,4103.0,4078.0,0.0,197227.85,0.824,13.47,0.7023,0.6975,2.64
Noise,NEQR,,,,,,0.0,,,,,1.0
Noise,FRQI,,,,,,0.0,,,,,1.0
Analytical,MCQI,32.0,41.0,12288.0,6144.0,78643.0,0.0,,,,,1.0
Analytical,GQIR,16.0,20.0,256.0,64.0,38.0,0.0,,,,,1.0
Analytical,2D-QSNA,8.0,10.0,16.0,16.0,8.0,0.0,,,,,1.0
Analytical,EFRQI,9.0,11.0,512.0,128.0,60.0,0.0,,,,,1.0
Analytical,IQIR,17.0,22.0,2048.0,1024.0,627.0,0.0,,,,,1.0
Analytical,NASS,8.0,10.0,16.0,8.0,3.0,0.0,,,,,1.0
Analytical,QRMW,24.0,31.0,8192.0,4096.0,2817.0,0.0,,,,,1.0
Analytical,QUALPI,10.0,13.0,256.0,128.0,63.0,0.0,,,,,1.0
